"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"MATIC";18917.4557014615;"42554,19";"SALDO DE 18917,45570146 MATIC CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x9B7c EM 31/12/2024.";""
"WETH";0.6019858878;"8035,75";"SALDO DE 0,60198589 WETH CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x9B7c EM 31/12/2024.";""
"UNI-V3-POS#1816243";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#1816243 CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x9B7c EM 31/12/2024.";""
"UNI-V3-POS#1819097";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#1819097 CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON 0x9B7c EM 31/12/2024.";""
"LDO";8952.3683753113;"51040,20";"SALDO DE 8952,36837531 LDO CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"ONDO";1983.5238900546;"7986,87";"SALDO DE 1983,52389005 ONDO CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"WETH";0.3348883679;"4470,33";"SALDO DE 0,33488837 WETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"ETH";0.0488064037;"540,01";"SALDO DE 0,0488064 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"UNI-V3-POS#724697";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#724697 CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"UNI-V3-POS#730600";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#730600 CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"UNI-V3-POS#732647";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#732647 CUSTODIADO NA CARTEIRA METAMASK NA REDE ETHEREUM EM 31/12/2024.";""
"ETH";0.0017276778;"19,12";"SALDO DE 0,00172768 ETH CUSTODIADO NA CARTEIRA METAMASK NA REDE POLYGON EM 31/12/2024.";""
