"asset";"total_quantity";"total_cost_brl";"total_value_brl";"description"
"AERO-CL-POS#439551 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#444979 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#453449 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#455812 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#455902 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#463102 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#463189 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#463225 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#471398 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#471422 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#471435 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#498787 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#499238 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#500188 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#538029 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#558628 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#590412 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#626462 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#626556 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#696609 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#949198 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"AERO-CL-POS#949338 (Slipstream Positi...)";1.0;0.0;0.0;"@ R$0.00 per AERO-CL-POS"
"CUBE#5577757 (Layer3 CUBE)";1.0;0.99;0.0;"@ R$0.00 per CUBE"
"CUBE#5578361 (Layer3 CUBE)";1.0;0.98;0.0;"@ R$0.00 per CUBE"
"DFZ#229 (Defizeros)";1.0;8586.3;0.0;"@ R$0.00 per DFZ"
"OWP (Orca Whirlpool Po...)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"OWP#3rrms... (OWP 3rrM...YKBL)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"OWP#5tvpb... (OWP 5tvp...sAzg)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"OWP#eb5tp... (OWP EB5t...i1W5)";1.0;5712.72;0.0;"@ R$0.00 per OWP"
"OWP#gvrpv... (OWP GvRp...1rg5)";1.0;0.0;0.0;"@ R$0.00 per OWP"
"RABBYDESKTOP#36510 (Rabby Desktop";1.0;19.8;0.0;"@ R$0.00 per RABBYDESKTOP"
"RCL#cwvmv... (Raydium Concentra...)";1.0;0.0;0.0;"@ R$0.00 per RCL"
"UNI-V3-POS#1006207 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1014597 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1014608 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1018031 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1023575 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1023579 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1025711 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1028860 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1032030 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1032058 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1037305 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1047274 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057254 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057330 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057395 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057449 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057503 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057580 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1057609 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058267 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058491 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058848 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1058869 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1059709 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1059716 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1060101 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
"UNI-V3-POS#1060632 (Uniswap V3 Positi...)";1.0;0.0;0.0;"@ R$0.00 per UNI-V3-POS"
