"Ticker";"Qtd";"Valor R$ 31/12/2024";"Discriminação";"Cnpj"
"UNI-V3-POS#3469024";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3469024 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3471742";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3471742 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3471760";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3471760 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3472845";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3472845 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3472870";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3472870 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3472920";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3472920 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3473624";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3473624 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3481691";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3481691 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3481733";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3481733 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3483441";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3483441 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3483460";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3483460 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
"UNI-V3-POS#3486029";1.0;"0,00";"SALDO DE 1 UNI-V3-POS#3486029 CUSTODIADO NA CARTEIRA LEDGER NA REDE ARBITRUM 0xe948 EM 31/12/2024.";""
